# of adv guards,adv guard bw,# of adv exits,adv exit bw,# of nodes,# of paths,# of trees,% bandwidth of adversary exit nodes among other exit nodes,% bandwidth of adversary entry nodes among other entry nodes,% bandwidth of adversary nodes among all nodes,% of paths with an adversary exit node,% of paths with an adversary entry node,% of paths with both aversary exit and entry node,% of paths with both aversary exit midle and entry node,% of trees with an adversary exit node,% of trees with an adversary entry node,% of trees with an adversary entry and exit node,% of trees with an adversary entry middle and exit node,average number of adversary middle nodes,average number of adversary exit nodes,
200,10000,249,15000,7194,100,100,11.563542315180925,2.3212210894959906,5.65957869977737,14.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,9,57,
200,10000,250,15000,7195,100,100,11.604593079373467,2.3212210894959906,5.673541594672302,17.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,93,59,
200,10000,251,15000,7196,100,100,11.64560575105481,2.3212210894959906,5.687500357010268,15.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,1,59,
200,10000,252,15000,7197,100,100,11.686580383221521,2.3212210894959906,5.701454988625646,18.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,8,69,
200,10000,253,15000,7198,100,100,11.72751702877191,2.3212210894959906,5.715405491351733,15.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,5,67,
200,10000,254,15000,7199,100,100,11.768415740506248,2.3212210894959906,5.729351867020737,12.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,7,65,
200,10000,255,15000,7200,100,100,11.809276571126995,2.3212210894959906,5.743294117463784,16.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,8,61,
200,10000,256,15000,7201,100,100,11.850099573239032,2.3212210894959906,5.757232244510916,17.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,4,72,
200,10000,257,15000,7202,100,100,11.890884799349879,2.3212210894959906,5.771166249991092,17.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,103,61,
200,10000,258,15000,7203,100,100,11.931632301869927,2.3212210894959906,5.785096135732192,16.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,5,56,
200,10000,259,15000,7204,100,100,11.97234213311266,2.3212210894959906,5.799021903561014,11.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,5,68,
200,10000,260,15000,7205,100,100,12.013014345294877,2.3212210894959906,5.812943555303276,12.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,10,63,
200,10000,261,15000,7206,100,100,12.053648990536916,2.3212210894959906,5.826861092783616,15.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,6,68,
200,10000,262,15000,7207,100,100,12.094246120862879,2.3212210894959906,5.840774517825595,10.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,4,53,
200,10000,263,15000,7208,100,100,12.134805788200852,2.3212210894959906,5.854683832251697,13.0,100.0,13.0,0.0,44.0,200.0,44.0,0.0,6,55,
200,10000,264,15000,7209,100,100,12.175328044383129,2.3212210894959906,5.868589037883328,19.0,0.0,0.0,0.0,45.0,200.0,45.0,0.0,4,59,
200,10000,265,15000,7210,100,100,12.215812941146426,2.3212210894959906,5.882490136540817,21.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,95,72,
200,10000,266,15000,7211,100,100,12.256260530132108,2.3212210894959906,5.89638713004342,14.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,6,57,
200,10000,267,15000,7212,100,100,12.296670862886408,2.3212210894959906,5.910280020209319,10.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,7,70,
200,10000,268,15000,7213,100,100,12.337043990860645,2.3212210894959906,5.924168808855621,19.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,6,74,
200,10000,269,15000,7214,100,100,12.377379965411434,2.3212210894959906,5.93805349779836,17.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,94,64,
200,10000,270,15000,7215,100,100,12.417678837800922,2.3212210894959906,5.951934088852498,20.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,91,71,
200,10000,271,15000,7216,100,100,12.45794065919699,2.3212210894959906,5.96581058383193,14.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,11,63,
200,10000,272,15000,7217,100,100,12.498165480673471,2.3212210894959906,5.979682984549473,18.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,10,58,
200,10000,273,15000,7218,100,100,12.538353353210374,2.3212210894959906,5.993551292816881,17.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,11,68,
200,10000,274,15000,7219,100,100,12.578504327694093,2.3212210894959906,6.007415510444836,21.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,11,57,
